zx_code_fldname,zx_code_value,zx_code_value_up,zx_code_cmmt,zx_code_desc1,zx_code_desc2,zx_code_rmk,zx_code_char#1,zx_code_char#2,zx_code_num#1,zx_code_num#2
CoA_ChromaScan,PHY81W,,MUNSELL 2.5B7/6,,SKYLINE BLUE PART A,,,,0,0
CoA_ChromaScan,PHY85E,,NCS S2070G20Y,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHY899,,RAL7021,,RAL7021 BLACK GREY PART A,,,,0,0
CoA_ChromaScan,PHY89M,,BYUCKSAN BC-318011,,YELLOW PART A,,,,0,0
CoA_ChromaScan,PHY97R,,BYUCKSAN BC-308013,,YELLOW PART A,,,,0,0
CoA_ChromaScan,PHY992,,RAL9011,,RAL9011 GRAPHITE BLACK PART A,,,,0,0
CoA_ChromaScan,PHY998,,BS381C 642,,NIGHT PART A,,,,0,0
CoA_ChromaScan,PHZ007,,RAL9010,,RAL9010 PURE WHITE PART A,,,,0,0
CoA_ChromaScan,PHZ016,,RAL9016,,RAL9016 TRAFFIC WHITE PART A,,,,0,0
CoA_ChromaScan,PHZ028,,RAL9003,,RAL9003 SIGNAL WHITE PART A,,,,0,0
CoA_ChromaScan,PHZ084,,MUNSELL 10YR8/12,,SUN PART A,,,,0,0
CoA_ChromaScan,PHZ090,,IP Z090,,QATAR GAS LNG YELLOW PART A,,,,0,0
CoA_ChromaScan,PHZ187,,PANTONE 540,,DARK BLUE PART A,,,,0,0
CoA_ChromaScan,PHZ196,,PANTONE 288C,,DARK BLUE PART A,,,,0,0
CoA_ChromaScan,PHZ204,,MUNSELL 10GY8/4,,LIGHT GREEN PART A,,,,0,0
CoA_ChromaScan,PHZ207,,PANTONE 348C,,MEADOW GREEN PART A,,,,0,0
CoA_ChromaScan,PHZ249,,JOTUN 137,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHZ293,,MUNSELL 7.5GY7/4,,LIGHT GREEN PART A,,,,0,0
CoA_ChromaScan,PHZ297,,MUNSELL 7.5GY7/2,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHZ437,,BS381C 365,,VELLUM PART A,,,,0,0
CoA_ChromaScan,PHZ460,,RAL3031,,RAL3031 ORIENT RED PART A,,,,0,0
CoA_ChromaScan,PHZ461,,HEMPEL 5063/50630,,TILE RED PART A,,,,0,0
CoA_ChromaScan,PHZ554,,RAL2010,,RAL2010 SIGNAL ORANGE PART A,,,,0,0
CoA_ChromaScan,PHZ625,,RAL7042,,RAL7042 TRAFFIC GREY  PART A,,,,0,0
CoA_ChromaScan,PHZ628,,BS4800 18B25,,DARK GREY PART A,,,,0,0
CoA_ChromaScan,PHZ638,,MUNSELL N7.0,,GREY PART A,,,,0,0
CoA_ChromaScan,PHZ643,,NCS 4502B,,GREY PART A,,,,0,0
CoA_ChromaScan,PHZ648,,NCS S0502Y,,TURTLE DOVE GREY PART A,,,,0,0
CoA_ChromaScan,PHZ651,,RAL7040,,RAL7040 WINDOW GREY PART A,,,,0,0
CoA_ChromaScan,PHZ655,,SIGMA 5198,,DARK GREY PART A,,,,0,0
CoA_ChromaScan,PHZ666,,NCS S2000N,,GREY PART A,,,,0,0
CoA_ChromaScan,PHZ681,,RAL7044,,RAL7044 SILK GREY PART A,,,,0,0
CoA_ChromaScan,PHZ684,,BS381C 676,,LT W'WORK GREY PART A,,,,0,0
CoA_ChromaScan,PHZ725,,NCS 2040R80B,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHZ771,,RAL6034,,RAL6034 PASTEL TURQUOISE PART A,,,,0,0
CoA_ChromaScan,PHZ802,,HEMPEL 20380,,CREAM PART A,,,,0,0
CoA_ChromaScan,PHZ820,,A.P.MOELLER CREAM,,CREAM (2032) PART A,,,,0,0
CoA_ChromaScan,PHZ858,,MUNSELL 7.5GY7/4,,LIGHT GREEN PART A,,,,0,0
CoA_ChromaScan,PHZ876,,RAL6033,,RAL6033 MINT TURQUOISE PART A,,,,0,0
CoA_ChromaScan,PHZ877,,HEMPEL 4090,,SIGNAL GREEN PART A,,,,0,0
CoA_ChromaScan,PHZ899,,MUNSELL 10GY5/4,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHZ901,,RAL9017,,RAL9017 TRAFFIC BLACK PART A,,,,0,0
CoA_ChromaScan,PHZ903,,RAL9004,,RAL9004 SIGNAL BLACK PART A,,,,0,0
CoA_ChromaScan,PHZ912,,RAL7038,,RAL7038 AGATE GREY PART A,,,,0,0
CoA_ChromaScan,PHZ916,,RAL5024,,RAL5024 PASTEL BLUE PART A,,,,0,0
CoA_ChromaScan,PHZ919,,MUNSELL N5.5,,GREY PART A,,,,0,0
